OMEN_ID;X;Y;Z;Efield;Approved
2;13;12;25.5;4.98;Yes
3;57;38;19.5;2.3092;Yes
4;9;-49;21.5;2.8525;Yes
5;0;-20;22.7;3.6785;Yes
6;43;-51;19.5;2.8615;Yes
7;8;-69;20.5;2.263;Yes
8;-21;-46;23.5;3.4115;Yes
9;-71;6;11.5;1.1069;Yes
10;-38;17;28.5;2.3954;Yes
11;55;55;16.5;1.9511;Yes
